timestamp;value;status;note
2025-01-01T12:06:00;4,918 ;WARN;cal
2025-01-01T12:06:05; 5.015;ERR;tmp;extra
2025-01-01T12:06:10;5,283 ;ERR;sensorA
2025-01-01T12:06:15; 2.839 ;OK;prueba
2025-01-01T12:06:20;5.422;OK;tmp
2025-01-01T12:06:25;5,508 ;WARN;cal
2025-01-01T12:06:30.123;5,397 ;;
2025-01-01T12:06:35; 5.474;;tmp
2025-01-01T12:06:40;5.547;;cal
01/01/2025 12:06:45;5,508;OK;sensorA
2025-01-01T12:06:50;5,568 ;WARN;
2025-01-01T12:06:55.123;8,145 ;WARN;tmp
2025-01-01T12:07:00.123;5,493;WARN;prueba
2025-01-01T12:07:05;5.475;OK;sensorA
2025-01-01T12:07:10; 5.531;ERR;prueba;extra
01/01/2025 12:07:15;5,430 ;WARN;cal
2025-01-01T12:07:20;5.288;ERR;cal
01/01/2025 12:07:25; 5,335;;
2025-01-01T12:07:30; 5,213;WARN;tmp
2025-01-01T12:07:35.123;5.001 ;;prueba
2025-01-01T12:07:40;5.066;OK;tmp
2025-01-01T12:07:45; 4.909;WARN;prueba
2025-01-01T12:07:50;
2025-01-01T12:07:55; 4.743;WARN;
2025-01-01T12:08:00; 9.038 ;;sensorA
2025-01-01T12:08:05.123;4.553 ;OK;tmp
2025-01-01T12:08:10;4.502;OK;tmp
2025-01-01T12:08:15.123; 4.415;OK;tmp
2025-01-01T12:08:20;4.357;OK;
2025-01-01T12:08:25.123;
2025-01-01T12:08:30;8,034;ERR;
2025-01-01T12:08:35; 8,369 ;ERR;sensorA
01/01/2025 12:08:40;4,370;;tmp
2025-01-01T12:08:45;4,475 ;WARN;tmp
2025-01-01T12:08:50; 4.612 ;ERR;sensorA
01/01/2025 12:08:55;4.547;WARN;sensorA
01/01/2025 12:09:00;4.671;;tmp
2025-01-01T12:09:05.123;4,653;;sensorA
2025-01-01T12:09:10; 4.871 ;;tmp
2025-01-01T12:09:15;4,917;;sensorA
2025-01-01T12:09:20; 4.929;ERR;prueba
2025-01-01T12:09:25; 5,079;;tmp
2025-01-01T12:09:30;5.285 ;ERR;
2025-01-01T12:09:35.123; 5,308 ;WARN;cal
2025-01-01T12:09:40;5,378;WARN;tmp
01/01/2025 12:09:45;3.190;;cal
2025-01-01T12:09:50;
2025-01-01T12:09:55; 5.577 ;OK;
2025-01-01T12:10:00;5.524;;prueba
01/01/2025 12:10:05;8.531;OK;
2025-01-01T12:10:10;5,548;OK;tmp
2025-01-01T12:10:15; 5.537 ;WARN;cal
2025-01-01T12:10:20;NULL;ERR;sensorA
2025-01-01T12:10:25;5,625 ;ERR;sensorA
01/01/2025 12:10:30; 5,434;ERR;sensorA
2025-01-01T12:10:35; 5,401;ERR;prueba
2025-01-01T12:10:40;error;OK;tmp
2025-01-01T12:10:45;5.212 ;WARN;cal
2025-01-01T12:10:50; 5,211 ;;cal
2025-01-01T12:10:55; 5.082;WARN;
2025-01-01T12:11:00.123;5,047 ;OK;sensorA
01/01/2025 12:11:05; 4.852;ERR;cal
2025-01-01T12:11:10; 4,740;WARN;tmp
01/01/2025 12:11:15;4,766 ;;tmp
2025-01-01T12:11:20;4,602 ;WARN;sensorA
2025-01-01T12:11:25; 4.484;;prueba
01/01/2025 12:11:30;error;ERR;
01/01/2025 12:11:35; 4,560;ERR;
2025-01-01T12:11:40.123; 4.452;;tmp
01/01/2025 12:11:45;4,433 ;WARN;sensorA
01/01/2025 12:11:50;4.461;ERR;cal
2025-01-01T12:11:55;4,326 ;;cal;extra
01/01/2025 12:12:00; 4.356;WARN;tmp
2025-01-01T12:12:05;4,554;;cal
2025-01-01T12:12:10;??;ERR;tmp
2025-01-01T12:12:15;
2025-01-01T12:12:20.123;??;ERR;prueba
2025-01-01T12:12:25.123; 4,725 ;ERR;prueba
2025-01-01T12:12:30; 8.884 ;WARN;
01/01/2025 12:12:35; 4.871 ;ERR;tmp
